back0 1 3511966 3513966
back1 1 3586232 3588232
back2 1 3652564 3654564
back3 1 3980325 3982325
back4 1 4590285 4592285
back5 1 5372142 5374142
back6 1 5618504 5620504
back7 1 5669724 5671724
back8 1 5751911 5753911
back9 1 5823402 5825402
back10 1 6214930 6216930
back11 1 6518097 6520097
back12 1 6549995 6551995
back13 1 6575230 6577230
back14 1 6783290 6785290
back15 1 6799824 6801824
back16 1 7013136 7015136
back17 1 7111194 7113194
back18 1 8381214 8383214
back19 1 8496221 8498221
back20 1 8693255 8695255
back21 1 8805244 8807244
back22 1 8903203 8905203
back23 1 9732833 9734833
back24 1 9756169 9758169
back25 1 9779918 9781918
back26 1 9849506 9851506
back27 1 10338909 10340909
back28 1 10431216 10433216
back29 1 10517984 10519984
back30 1 11493334 11495334
back31 1 11595496 11597496
back32 1 11664485 11666485
back33 1 12540510 12542510
back34 1 12551185 12553185
back35 1 13052288 13054288
back36 1 13368320 13370320
back37 1 13437984 13439984
back38 1 13867158 13869158
back39 1 13945108 13947108
back40 1 14084402 14086402
back41 1 14130436 14132436
back42 1 14248361 14250361
back43 1 14339854 14341854
back44 1 14641413 14643413
back45 1 14644968 14646968
back46 1 15308491 15310491
back47 1 15531791 15533791
back48 1 15550532 15552532
back49 1 15733359 15735359
back50 1 15833642 15835642
back51 1 16236569 16238569
back52 1 16287122 16289122
back53 1 16456399 16458399
back54 1 16875311 16877311
back55 1 17317127 17319127
back56 1 17561435 17563435
back57 1 17684002 17686002
back58 1 18274660 18276660
back59 1 18559491 18561491
back60 1 18833722 18835722
back61 1 18870743 18872743
back62 1 18908496 18910496
back63 1 18986006 18988006
back64 1 19048866 19050866
back65 1 19254278 19256278
back66 1 19266559 19268559
back67 1 19332567 19334567
back68 1 19422001 19424001
back69 1 19627755 19629755
back70 1 20153470 20155470
back71 1 20501987 20503987
back72 1 20609320 20611320
back73 1 20618922 20620922
back74 1 20695037 20697037
back75 1 20797278 20799278
back76 1 20830770 20832770
back77 1 20882730 20884730
back78 1 20986746 20988746
back79 1 21323023 21325023
back80 1 21718991 21720991
back81 1 21793314 21795314
back82 1 21864959 21866959
back83 1 21878729 21880729
back84 1 22113889 22115889
back85 1 22655204 22657204
back86 1 23180410 23182410
back87 1 23190549 23192549
back88 1 23338301 23340301
back89 1 23357505 23359505
back90 1 23492927 23494927
back91 1 23589296 23591296
back92 1 23639510 23641510
back93 1 23989696 23991696
back94 1 24081161 24083161
back95 1 24310092 24312092
back96 1 24460314 24462314
back97 1 24657580 24659580
back98 1 24975832 24977832
back99 1 25372744 25374744
back100 1 25512830 25514830
back101 1 25579003 25581003
back102 1 26087712 26089712
back103 1 27322009 27324009
back104 1 27415071 27417071
back105 1 27442285 27444285
back106 1 27725136 27727136
back107 1 27752687 27754687
back108 1 28376125 28378125
back109 1 28389940 28391940
back110 1 28393724 28395724
back111 1 28578051 28580051
back112 1 28929986 28931986
back113 1 29196763 29198763
back114 1 29603354 29605354
back115 1 29714647 29716647
back116 1 29787651 29789651
back117 1 29833587 29835587
back118 1 30885173 30887173
back119 1 30892035 30894035
back120 1 31134949 31136949
back121 1 31412293 31414293
back122 1 31786968 31788968
back123 1 31793365 31795365
back124 1 31839574 31841574
back125 1 31950813 31952813
back126 1 32063579 32065579
back127 1 32113398 32115398
back128 1 32128446 32130446
back129 1 32871474 32873474
back130 1 32991102 32993102
back131 1 33830075 33832075
back132 1 33839421 33841421
back133 1 34227514 34229514
back134 1 34486889 34488889
back135 1 34534653 34536653
back136 1 34784207 34786207
back137 1 34935005 34937005
back138 1 35157199 35159199
back139 1 35488163 35490163
back140 1 35497103 35499103
back141 1 35577493 35579493
back142 1 36036836 36038836
back143 1 36092381 36094381
back144 1 36102211 36104211
back145 1 36866321 36868321
back146 1 36911780 36913780
back147 1 37338406 37340406
back148 1 37516761 37518761
