2L 46902 48902
2L 49440 51440
2L 60862 62862
2L 65510 67510
2L 87938 89938
2L 91003 93003
2L 113667 115667
2L 120131 122131
2L 134825 136825
2L 164862 166862
2L 223740 225740
2L 245280 247280
2L 258763 260763
2L 301878 303878
2L 304439 306439
2L 308434 310434
2L 312781 314781
2L 352190 354190
2L 357309 359309
2L 362052 364052
2L 369936 371936
2L 381669 383669
2L 393757 395757
2L 431425 433425
2L 440838 442838
2L 470298 472298
2L 481087 483087
2L 483342 485342
2L 486746 488746
2L 498109 500109
2L 502176 504176
2L 508030 510030
2L 513140 515140
2L 515577 517577
2L 519177 521177
2L 521400 523400
2L 526314 528314
2L 530021 532021
2L 580265 582265
2L 585273 587273
2L 590270 592270
2L 600499 602499
2L 610038 612038
2L 613071 615071
2L 617596 619596
2L 622333 624333
2L 630990 632990
2L 674601 676601
2L 677701 679701
2L 680501 682501
2L 687370 689370
2L 692737 694737
2L 698598 700598
2L 709259 711259
2L 714269 716269
2L 720989 722989
2L 724734 726734
2L 731977 733977
2L 741864 743864
2L 750771 752771
2L 763953 765953
2L 767295 769295
2L 803270 805270
2L 807442 809442
2L 832256 834256
2L 841489 843489
2L 844447 846447
2L 866114 868114
2L 923171 925171
2L 941501 943501
2L 945800 947800
2L 962663 964663
2L 968358 970358
2L 970541 972541
2L 973215 975215
2L 977688 979688
2L 982993 984993
2L 986057 988057
2L 994488 996488
2L 1003004 1005004
2L 1005676 1007676
2L 1011836 1013836
2L 1029389 1031389
2L 1039162 1041162
2L 1043001 1045001
2L 1055592 1057592
2L 1075350 1077350
2L 1079153 1081153
2L 1095346 1097346
2L 1099483 1101483
2L 1101500 1103500
2L 1141006 1143006
2L 1224670 1226670
2L 1233019 1235019
2L 1243902 1245902
2L 1249238 1251238
2L 1254384 1256384
2L 1274288 1276288
2L 1281183 1283183
2L 1297070 1299070
2L 1303986 1305986
2L 1306400 1308400
2L 1312157 1314157
2L 1318630 1320630
2L 1320873 1322873
2L 1331574 1333574
2L 1335528 1337528
2L 1337600 1339600
2L 1344909 1346909
2L 1363986 1365986
2L 1370765 1372765
2L 1377334 1379334
2L 1406607 1408607
2L 1408706 1410706
2L 1415271 1417271
2L 1430731 1432731
2L 1434677 1436677
2L 1440225 1442225
2L 1443635 1445635
